CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
BZ,757,BLUE BIRD AIRWAYS,2024-07-07T18:20:00,2024-07-07T18:20:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,CANCELED,מבוטלת
EK,2470,EMIRATES,2024-07-07T18:40:00,2024-07-07T18:20:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
FZ,1125,FLYDUBAI,2024-07-07T18:40:00,2024-07-07T18:20:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
B6,6460,JETBLUE AIRWAYS CORPORATION,2024-07-07T19:20:00,2024-07-07T18:21:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
DL,7434,DELTA AIRLINES,2024-07-07T19:20:00,2024-07-07T18:21:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,014,EL AL ISRAEL AIRLINES,2024-07-07T19:20:00,2024-07-07T18:21:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
6H,045,ISRAIR AIRLINES,2024-07-07T17:40:00,2024-07-07T18:24:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,355-360,C,DEPARTED,המריאה
DL,7440,DELTA AIRLINES,2024-07-07T19:00:00,2024-07-07T18:27:00,A,FLL,FORT LAUDERDALE,פורט לאודרדייל,FORT LAUDERDALE,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,022,EL AL ISRAEL AIRLINES,2024-07-07T19:00:00,2024-07-07T18:27:00,A,FLL,FORT LAUDERDALE,פורט לאודרדייל,FORT LAUDERDALE,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,5115,EL AL ISRAEL AIRLINES,2024-07-07T17:55:00,2024-07-07T18:37:00,D,EFL,KEFALLINIA,קפלוניה,KEFALONIA,יוון,GREECE,1,301-308,A,DEPARTED,המריאה
6H,711,ISRAIR AIRLINES,2024-07-07T18:00:00,2024-07-07T18:39:00,D,VAR,VARNA,וארנה,VARNA,בולגריה,BULGARIA,3,52-55,B,DEPARTED,המריאה
LY,571,EL AL ISRAEL AIRLINES,2024-07-07T18:30:00,2024-07-07T18:40:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,78-99,D,DEPARTED,המריאה
IB,2390,IBERIA,2024-07-07T17:45:00,2024-07-07T18:42:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
